Zimmerzahl;Stockwerk;Hausmeister;Kindergarten;Schule;S-Bahn;Garage;Miete;Nebenkosten;Alter;Aufzug;Entfernung zur Stadtmitte;Kaution;Kueche;Bad;Balkon;Terrasse;Kehrwoche;Moebliert;Quadratmeter;Studierende;Kleinfamilie;DINK;SingleHighIncome;Expatriate;Rentnerpaar
4 Zimmer;EG;ja;nah;nah;nah;nein;551-600;151-200;7-10 Jahre;nein;5-10 km;ueber 3000;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;81-90;nein;ja;nein;nein;nein;nein
3-4 Zimmer;EG;nein;fern;erreichbar;erreichbar;nein;501-550;101-150;Neubau;nein;> 30 km;1000-1500;Kueche (alt);Badewanne;nein;nein;nein;nein;81-90;nein;nein;nein;nein;nein;nein
5 Zimmer;1.Stock;nein;nah;erreichbar;erreichbar;ja;701-750;201-250;21-30 Jahre;nein;> 30 km;ueber 3000;Kueche (alt);Dusche + Wanne;nein;ja;nein;nein;111-120;nein;nein;nein;nein;nein;nein
6 Zimmer;5.Stock;nein;erreichbar;fern;mit Bus;nein;851-900;ueber 300;4-7 Jahre;ja;Zentrum;ueber 3000;Kueche (alt);Badewanne;ja;nein;ja;nein;ueber 120;nein;nein;nein;nein;nein;nein
2-3 Zimmer;7.Stock;nein;erreichbar;erreichbar;nah;ja;401-450;101-150;31-50 Jahre;ja;Zentrum;keine;Kueche (alt);Dusche;nein;nein;ja;nein;61-70;nein;nein;nein;nein;nein;nein
3 Zimmer;1.Stock;nein;fern;nah;erreichbar;nein;451-500;101-150;51-75 Jahre;nein;Zentrum;keine;Kueche (neu);Dusche;nein;nein;nein;nein;61-70;nein;nein;nein;nein;nein;nein
3-4 Zimmer;EG;nein;nah;nah;erreichbar;ja;501-550;151-200;4-7 Jahre;nein;5-10 km;ueber 3000;Kueche (alt);Dusche;nein;nein;nein;nein;81-90;nein;ja;nein;nein;nein;nein
Ein Zimmer;1.Stock;nein;nah;erreichbar;nah;nein;251-300;unter 50;51-75 Jahre;nein;21-30 km;keine;keine;Dusche + Wanne;nein;nein;nein;nein;bis 20;nein;nein;nein;nein;nein;nein
4 Zimmer;3.Stock;nein;nah;erreichbar;nein;nein;551-600;201-250;76-100 Jahre;nein;< 3 km;ueber 3000;Kueche (alt);Badewanne;ja;nein;ja;nein;91-100;nein;nein;nein;nein;nein;nein
4-5 Zimmer;4.Stock;nein;erreichbar;erreichbar;nah;nein;601-650;201-250;4-7 Jahre;ja;5-10 km;ueber 3000;Kueche (alt);Dusche + Wanne;ja;nein;nein;nein;91-100;nein;nein;nein;nein;nein;nein
5 Zimmer;3.Stock;nein;erreichbar;nah;erreichbar;nein;701-750;ueber 300;76-100 Jahre;ja;Zentrum;ueber 3000;Kueche (alt);Dusche;ja;nein;ja;nein;111-120;nein;ja;nein;nein;nein;nein
4-5 Zimmer;1.Stock;nein;nah;erreichbar;nein;nein;651-700;251-300;76-100 Jahre;ja;> 30 km;ueber 3000;Kueche (neu);Dusche + Wanne;nein;nein;nein;nein;91-100;nein;nein;nein;nein;nein;nein
2-3 Zimmer;EG;nein;erreichbar;erreichbar;mit Bus;nein;451-500;101-150;7-10 Jahre;nein;> 30 km;keine;Kueche (neu);Badewanne;nein;nein;nein;nein;51-60;nein;nein;nein;nein;nein;nein
6 Zimmer;EG;nein;erreichbar;fern;erreichbar;nein;801-850;251-300;7-10 Jahre;nein;> 30 km;ueber 3000;Kueche (alt);Badewanne;nein;nein;nein;nein;ueber 120;nein;nein;nein;nein;nein;nein
2-3 Zimmer;1.Stock;ja;erreichbar;erreichbar;nein;nein;451-500;101-150;7-10 Jahre;ja;21-30 km;keine;Kueche (neu);Dusche + Wanne;nein;nein;nein;nein;51-60;nein;nein;nein;nein;nein;nein
5 Zimmer;EG;nein;nah;nah;nein;nein;801-850;ueber 300;16-20 Jahre;nein;11-20 km;1000-1500;Kueche (alt);Dusche;nein;nein;nein;teilmoebliert;ueber 120;nein;nein;nein;nein;nein;nein
4-5 Zimmer;4.Stock;nein;fern;fern;nah;nein;551-600;151-200;ueber 100;ja;Zentrum;ueber 3000;Kueche (neu);Dusche + Wanne;ja;nein;nein;nein;91-100;nein;nein;nein;nein;nein;nein
4 Zimmer;3.Stock;nein;nah;fern;nah;nein;551-600;201-250;11-15 Jahre;ja;Zentrum;ueber 3000;Kueche (alt);Badewanne;ja;nein;nein;nein;91-100;nein;nein;nein;nein;nein;nein
2-3 Zimmer;EG;nein;erreichbar;nah;erreichbar;ja;451-500;101-150;4-7 Jahre;nein;> 30 km;keine;Kueche (alt);Dusche;nein;nein;nein;ja;51-60;nein;nein;nein;nein;nein;nein
2-3 Zimmer;EG;nein;erreichbar;nah;erreichbar;ja;451-500;101-150;11-15 Jahre;ja;> 30 km;keine;Kueche (alt);Dusche;nein;nein;nein;nein;51-60;nein;nein;nein;nein;nein;nein
Ein Zimmer;1.Stock;nein;fern;fern;erreichbar;nein;301-350;50-100;11-15 Jahre;nein;21-30 km;keine;Kueche (neu);Dusche + Wanne;nein;nein;nein;nein;31-40;nein;nein;nein;nein;nein;nein
4 Zimmer;1.Stock;nein;fern;nah;erreichbar;nein;501-550;151-200;21-30 Jahre;nein;5-10 km;keine;Kueche (alt);Badewanne;nein;nein;nein;nein;81-90;nein;nein;nein;nein;nein;nein
4-5 Zimmer;EG;nein;nah;erreichbar;erreichbar;nein;601-650;201-250;51-75 Jahre;nein;21-30 km;ueber 3000;keine;Dusche + Wanne;nein;nein;nein;nein;91-100;nein;nein;nein;nein;nein;nein
3-4 Zimmer;5.Stock;nein;fern;fern;erreichbar;nein;501-550;151-200;31-50 Jahre;ja;Zentrum;keine;keine;Dusche + Wanne;ja;nein;nein;ja;71-80;nein;nein;nein;nein;nein;nein
3-4 Zimmer;EG;ja;nah;erreichbar;nein;ja;551-600;151-200;16-20 Jahre;nein;< 3 km;ueber 3000;keine;Badewanne;ja;nein;nein;nein;81-90;nein;nein;ja;nein;nein;nein
Zwei Zimmer;1.Stock;ja;nah;nah;erreichbar;nein;401-450;50-100;ueber 100;ja;< 3 km;keine;Kueche (alt);Badewanne;nein;nein;nein;nein;41-50;nein;nein;nein;nein;nein;nein
6 Zimmer;3.Stock;nein;erreichbar;nah;erreichbar;nein;851-900;ueber 300;76-100 Jahre;ja;5-10 km;ueber 3000;Kueche (alt);Dusche + Wanne;ja;nein;nein;nein;ueber 120;nein;nein;nein;nein;nein;nein
Ein Zimmer;4.Stock;nein;fern;fern;nein;nein;251-300;unter 50;4-7 Jahre;ja;Zentrum;keine;Kueche (alt);Dusche;ja;nein;nein;nein;31-40;ja;nein;nein;nein;nein;nein
4-5 Zimmer;EG;nein;fern;fern;nah;nein;601-650;251-300;76-100 Jahre;ja;21-30 km;ueber 3000;Kueche (alt);Badewanne;nein;nein;nein;nein;101-110;nein;nein;nein;nein;nein;nein
Zwei Zimmer;EG;nein;erreichbar;nah;nah;nein;401-450;50-100;11-15 Jahre;nein;11-20 km;keine;Kueche (alt);Dusche;ja;nein;nein;nein;41-50;nein;nein;nein;nein;nein;nein
2-3 Zimmer;EG;nein;erreichbar;erreichbar;nah;nein;401-450;101-150;4-7 Jahre;nein;> 30 km;1000-1500;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;51-60;nein;nein;nein;nein;nein;nein
2-3 Zimmer;1.Stock;ja;erreichbar;nah;nah;ja;451-500;101-150;31-50 Jahre;ja;11-20 km;1000-1500;Kueche (alt);Dusche;nein;nein;nein;nein;51-60;nein;nein;nein;nein;nein;nein
3 Zimmer;5.Stock;nein;erreichbar;nah;nein;nein;451-500;151-200;4-7 Jahre;ja;< 3 km;1000-1500;Kueche (neu);Dusche + Wanne;ja;nein;nein;nein;71-80;nein;nein;nein;nein;nein;nein
5 Zimmer;1.Stock;nein;fern;erreichbar;erreichbar;ja;701-750;201-250;ueber 100;nein;11-20 km;ueber 3000;Kueche (alt);Badewanne;nein;nein;nein;nein;101-110;nein;nein;nein;nein;nein;nein
5 Zimmer;7.Stock;ja;erreichbar;nah;erreichbar;nein;651-700;201-250;51-75 Jahre;ja;< 3 km;ueber 3000;Kueche (alt);Badewanne;ja;nein;ja;nein;111-120;nein;ja;nein;nein;nein;nein
3 Zimmer;3.Stock;nein;erreichbar;fern;nein;ja;451-500;101-150;21-30 Jahre;ja;3-5 km;keine;Kueche (alt);Dusche;ja;nein;nein;nein;61-70;nein;nein;nein;nein;nein;nein
4-5 Zimmer;2.Stock;ja;erreichbar;fern;erreichbar;ja;651-700;201-250;4-7 Jahre;ja;11-20 km;ueber 3000;Kueche (alt);Badewanne;nein;nein;nein;nein;101-110;nein;nein;nein;nein;nein;nein
Zwei Zimmer;3.Stock;ja;fern;erreichbar;nein;ja;351-400;50-100;Neubau;ja;5-10 km;keine;Kueche (alt);Waschbecken;ja;nein;nein;nein;41-50;nein;nein;nein;nein;nein;nein
3 Zimmer;2.Stock;nein;fern;fern;nah;nein;451-500;101-150;16-20 Jahre;nein;5-10 km;ueber 3000;Kueche (alt);Dusche;ja;nein;nein;nein;61-70;nein;nein;nein;nein;nein;nein
Zwei Zimmer;EG;nein;fern;erreichbar;erreichbar;nein;301-350;50-100;ueber 100;nein;> 30 km;keine;Kueche (alt);Badewanne;nein;nein;nein;nein;31-40;nein;nein;nein;nein;nein;nein
5-6 Zimmer;1.Stock;nein;fern;erreichbar;nein;ja;751-800;ueber 300;76-100 Jahre;ja;5-10 km;1000-1500;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;111-120;nein;nein;nein;nein;nein;nein
3 Zimmer;1.Stock;ja;erreichbar;nah;erreichbar;ja;501-550;151-200;76-100 Jahre;nein;5-10 km;ueber 3000;Kueche (neu);Badewanne;nein;nein;nein;nein;71-80;nein;nein;nein;nein;nein;nein
4-5 Zimmer;EG;nein;nah;erreichbar;nah;ja;701-750;201-250;4-7 Jahre;nein;> 30 km;keine;keine;Badewanne;nein;nein;nein;nein;101-110;nein;nein;nein;nein;nein;nein
3 Zimmer;EG;nein;fern;nah;nah;nein;501-550;101-150;4-7 Jahre;nein;> 30 km;ueber 3000;Kueche (alt);Dusche + Wanne;nein;ja;nein;nein;61-70;nein;nein;nein;nein;nein;nein
Ein Zimmer;EG;nein;nah;fern;erreichbar;nein;251-300;50-100;16-20 Jahre;nein;5-10 km;keine;Kueche (alt);Dusche;nein;ja;nein;nein;20-30;ja;nein;nein;nein;nein;nein
3-4 Zimmer;EG;nein;nah;nah;mit Bus;nein;501-550;151-200;Neubau;nein;Zentrum;keine;Kueche (alt);Badewanne;nein;nein;ja;nein;81-90;nein;ja;nein;nein;nein;nein
2-3 Zimmer;7.Stock;nein;erreichbar;fern;nah;nein;451-500;101-150;76-100 Jahre;ja;Zentrum;1000-1500;Kueche (alt);Dusche;ja;nein;nein;nein;61-70;nein;nein;nein;nein;nein;nein
Zwei Zimmer;EG;nein;nah;nah;mit Bus;nein;401-450;50-100;Neubau;nein;> 30 km;1000-1500;Kueche (alt);Dusche + Wanne;nein;ja;nein;nein;51-60;nein;nein;nein;nein;nein;nein
5 Zimmer;3.Stock;nein;erreichbar;erreichbar;nah;nein;701-750;201-250;Neubau;ja;11-20 km;keine;Kueche (neu);Badewanne;nein;nein;nein;nein;101-110;nein;nein;nein;nein;nein;nein
Zwei Zimmer;1.Stock;nein;fern;erreichbar;nein;nein;351-400;50-100;ueber 100;nein;< 3 km;keine;Kueche (neu);Dusche;nein;nein;nein;nein;31-40;nein;nein;nein;nein;nein;nein
4-5 Zimmer;5.Stock;nein;nah;erreichbar;erreichbar;nein;551-600;201-250;7-10 Jahre;ja;< 3 km;keine;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;91-100;nein;nein;nein;nein;nein;nein
5-6 Zimmer;EG;nein;erreichbar;nah;erreichbar;ja;751-800;201-250;4-7 Jahre;nein;> 30 km;ueber 3000;Kueche (neu);Dusche + Wanne;nein;nein;nein;nein;111-120;nein;nein;nein;nein;nein;nein
Zwei Zimmer;1.Stock;nein;erreichbar;erreichbar;nah;nein;251-300;unter 50;21-30 Jahre;ja;Zentrum;keine;Kueche (alt);Badewanne;ja;nein;nein;nein;31-40;ja;nein;nein;nein;nein;ja
Zwei Zimmer;1.Stock;nein;erreichbar;nah;nah;nein;351-400;50-100;51-75 Jahre;nein;3-5 km;keine;Kueche (alt);Dusche;nein;nein;ja;teilmoebliert;41-50;nein;nein;nein;nein;nein;nein
4-5 Zimmer;EG;nein;fern;fern;erreichbar;nein;601-650;201-250;51-75 Jahre;nein;21-30 km;ueber 3000;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;101-110;nein;nein;nein;nein;nein;nein
Ein Zimmer;2.Stock;nein;erreichbar;nah;nein;nein;251-300;unter 50;21-30 Jahre;nein;3-5 km;keine;Kueche (alt);Dusche + Wanne;ja;nein;nein;nein;bis 20;nein;nein;nein;nein;nein;nein
Zwei Zimmer;1.Stock;nein;nah;erreichbar;erreichbar;nein;401-450;50-100;31-50 Jahre;ja;Zentrum;keine;Kueche (alt);Dusche;ja;nein;ja;teilmoebliert;51-60;nein;nein;nein;nein;nein;nein
4 Zimmer;9.Stock;ja;fern;fern;nah;ja;551-600;151-200;ueber 100;ja;Zentrum;keine;Kueche (alt);Badewanne;ja;nein;ja;nein;91-100;nein;nein;nein;nein;nein;nein
5 Zimmer;EG;ja;erreichbar;erreichbar;nah;ja;751-800;201-250;Neubau;nein;5-10 km;1000-1500;Kueche (neu);Dusche + Wanne;nein;nein;nein;nein;111-120;nein;nein;nein;nein;nein;nein
5 Zimmer;2.Stock;nein;erreichbar;fern;nah;nein;701-750;251-300;31-50 Jahre;nein;< 3 km;ueber 3000;keine;Dusche + Wanne;nein;nein;nein;nein;111-120;nein;nein;nein;nein;nein;nein
4 Zimmer;1.Stock;nein;nah;fern;erreichbar;nein;551-600;201-250;1-3 Jahre;ja;> 30 km;ueber 3000;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;81-90;nein;nein;nein;nein;nein;nein
2-3 Zimmer;3.Stock;nein;erreichbar;nah;nah;ja;451-500;101-150;7-10 Jahre;nein;5-10 km;keine;Kueche (alt);Dusche;nein;nein;ja;teilmoebliert;51-60;nein;nein;nein;nein;nein;nein
5 Zimmer;3.Stock;nein;nah;nah;erreichbar;ja;801-850;ueber 300;51-75 Jahre;ja;< 3 km;ueber 3000;Kueche (alt);Dusche;ja;nein;ja;nein;ueber 120;nein;nein;nein;nein;nein;nein
3 Zimmer;2.Stock;nein;erreichbar;erreichbar;nein;nein;451-500;101-150;16-20 Jahre;nein;5-10 km;keine;Kueche (alt);Dusche + Wanne;ja;nein;nein;nein;71-80;nein;nein;nein;nein;nein;nein
Zwei Zimmer;2.Stock;nein;nah;nah;nein;nein;351-400;50-100;7-10 Jahre;nein;Zentrum;keine;Kueche (alt);Dusche + Wanne;nein;nein;ja;nein;51-60;nein;nein;nein;nein;nein;nein
5-6 Zimmer;2.Stock;nein;fern;erreichbar;nein;nein;751-800;201-250;16-20 Jahre;nein;Zentrum;ueber 3000;Kueche (alt);Badewanne;nein;nein;ja;nein;111-120;nein;nein;nein;nein;nein;nein
Zwei Zimmer;EG;nein;nah;fern;erreichbar;ja;351-400;50-100;1-3 Jahre;nein;> 30 km;keine;Kueche (alt);Dusche;nein;nein;nein;nein;41-50;nein;nein;nein;nein;nein;nein
Zwei Zimmer;4.Stock;nein;nah;fern;erreichbar;nein;301-350;50-100;76-100 Jahre;ja;5-10 km;keine;Kueche (alt);Dusche;ja;nein;nein;nein;31-40;nein;nein;nein;nein;nein;nein
4 Zimmer;1.Stock;nein;nah;nah;erreichbar;nein;551-600;151-200;7-10 Jahre;ja;> 30 km;keine;Kueche (alt);Dusche;ja;ja;nein;nein;81-90;nein;ja;nein;nein;nein;nein
5 Zimmer;EG;ja;nah;erreichbar;erreichbar;nein;801-850;251-300;16-20 Jahre;nein;21-30 km;ueber 3000;keine;Dusche + Wanne;nein;nein;nein;teilmoebliert;111-120;nein;nein;nein;nein;nein;nein
3 Zimmer;EG;nein;fern;erreichbar;erreichbar;nein;451-500;101-150;76-100 Jahre;nein;> 30 km;1000-1500;Kueche (alt);Dusche;nein;nein;nein;nein;61-70;nein;nein;nein;nein;nein;nein
5 Zimmer;1.Stock;ja;erreichbar;nah;nah;nein;751-800;251-300;51-75 Jahre;nein;21-30 km;ueber 3000;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;111-120;nein;ja;nein;nein;nein;nein
2-3 Zimmer;1.Stock;nein;erreichbar;fern;nein;nein;451-500;50-100;51-75 Jahre;nein;> 30 km;1000-1500;keine;Dusche;ja;nein;nein;nein;51-60;nein;nein;nein;nein;nein;nein
5-6 Zimmer;3.Stock;nein;fern;nah;erreichbar;nein;701-750;251-300;4-7 Jahre;ja;Zentrum;ueber 3000;keine;Dusche + Wanne;nein;nein;ja;nein;111-120;nein;nein;nein;nein;nein;nein
4-5 Zimmer;EG;nein;nah;erreichbar;nah;nein;601-650;201-250;ueber 100;nein;> 30 km;ueber 3000;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;91-100;nein;nein;nein;nein;nein;nein
3 Zimmer;1.Stock;nein;erreichbar;nah;mit Bus;ja;501-550;151-200;ueber 100;ja;Zentrum;1000-1500;keine;Badewanne;nein;nein;nein;ja;71-80;nein;nein;nein;nein;nein;nein
3-4 Zimmer;2.Stock;nein;fern;erreichbar;nah;nein;501-550;151-200;4-7 Jahre;ja;5-10 km;1000-1500;Kueche (alt);Dusche + Wanne;ja;nein;nein;teilmoebliert;71-80;nein;nein;nein;nein;nein;nein
